Site,year,Month,DateDay,SumOfKwh,Level,Meter
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2572.00,GMez & L1 - NBC CSG,278) L1 Core 1 Tenant NW Riser BD/TNW1L/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,4054.00,GMez & L1 - NBC CSG,281) L1 Core 2 Tenant N Riser BD/TNW2L(P)/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2564.00,GMez & L1 - NBC CSG,282) L1 Core 1 Tenant NE Riser BD/TNE1L/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2494.00,GMez & L1 - NBC CSG,283) L1 Core 1 Tenant SE Riser BD/TSE1L/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1996.00,GMez & L1 - NBC CSG,284) L1 Core 3 Tenant SW Riser BD/TSW2L(P)/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3444.00,GMez & L1 - NBC CSG,287) L1 Core 1 Tenant SW Riser BD/TSW1L/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3017.00,GMez & L1 - NBC CSG,293) GF Core 1 Tenant NE Riser BD/TNEL/1PG__
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,756.00,GMez & L1 - NBC CSG,294) GF Core 1 Tenant SE Riser BD/TSEL/__
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1873.00,GMez & L1 - NBC CSG,Central (Landlord's) Air Handling
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,26686.00,GMez & L1 - NBC CSG,Central (Landlord's) Chillers/Pumps
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2035.00,GMez & L1 - NBC CSG,Central (Landlord's) Misc Plant/Equipment
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,8974.00,GMez & L1 - NBC CSG,Common Area
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1941.00,L2 & L3 N,0) L2 Core 1 Tenant NE Riser BD/TNE1P/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3748.00,L2 & L3 N,0) L2 Core 1 Tenant NW Riser BD/TNW1P/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2126.00,L2 & L3 N,0) L2 Core 1 Tenant SE Riser BD/TSE1P/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3835.00,L2 & L3 N,0) L2 Core 1 Tenant SW Riser BD/TSW1P/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,267.00,L2 & L3 N,0) L2 Core 2 Tenant N Riser BD/TNW2L/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3347.00,L2 & L3 N,0) L2 Core 3 Tenant SW Riser BD/TSW2P/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,860.00,L2 & L3 N,0) L3 Core 1 Tenant NE Riser BD/TNE1L/L3
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2528.00,L2 & L3 N,0) L3 Core 1 Tenant NW Riser BD/TNW1P/L3 new
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3409.00,L2 & L3 N,0) L3 Core 1 Tenant NW Riser DB dub new
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,4514.00,L2 & L3 N,0) L3 Core 2 Tenant N Riser BD/TNW2L/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2927.00,L2 & L3 N,0) L3 Core 2 Tenant NW2 Riser BD/P
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3830.00,L2 & L3 N,261) L3 Core 2 Tenant N Riser BD/TNW2L(P)/L3
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,0.00,L2 & L3 N,262) L3 Core 1 Tenant NE Riser BD/TNE1L/L3 new
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2989.00,L2 & L3 N,268) L2 Core 1 Tenant NW Riser BD/TNW1L/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,4483.00,L2 & L3 N,271) L2 Core 2 Tenant N Riser BD/TNW2L(P)/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2600.00,L2 & L3 N,272) L2 Core 1 Tenant NE Riser BD/TNE1L/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2166.00,L2 & L3 N,273) L2 Core 1 Tenant SE Riser BD/TSE1L/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2549.00,L2 & L3 N,274) L2 Core 3 Tenant SW Riser BD/TSW2L/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,8018.00,L2 & L3 N,77) L2 Core 1 Tenant SW Riser BD/TSW1L/L2
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2630.00,L2 & L3 N,Central (Landlord's) Air Handling kWh
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,12855.00,L2 & L3 N,Central (Landlord's) Chillers/Pumps kWh:
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3007.00,L2 & L3 N,Central (Landlord's) Misc Plant/Equipment kWh
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,12600.00,L2 & L3 N,Common Area
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1447.00,L2 & L3 N,i) 258) L3 Core 1 Tenant NW Riser BD/TNW1L/L3
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1222.00,Level 10,0) L10 Core 1 Tenant NW Riser BD/TNW1P/L10 & New
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,0.00,Level 10,0) L10 Core 1 Tenant SW Riser BD/TSW1P/L10 & New
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,9162.00,Level 10,0) L10 Core 2 Comms supply & New
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1071.00,Level 10,0) L10 Core 2 Tenant N Riser BD/TNW2P/L10 & New
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1177.00,Level 10,191) L10 Core 1 Tenant NW Riser BD/TNW1L/L10
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,0.00,Level 10,194) L10 Core 2 Tenant N Riser BD/TNW2L/L10
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1035.00,Level 10,195) L10 Core 1 Tenant NE Riser BD/TNE1L/L10
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,940.00,Level 10,196) L10 Core 1 Tenant SE Riser BD/TSE1L/L10
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1021.00,Level 10,199) L10 Core 1 Tenant SW Riser BD/TSW1L/L10
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1031.00,Level 10,Central (Landlord's) Air Handling kWh
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3489.00,Level 10,Central (Landlord's) Chillers/Pumps kWh:
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1259.00,Level 10,Central (Landlord's) Misc Plant/Equipment kWh
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,4937.00,Level 10,Common Area
NBC Universal - St Giles High Street,17,May,1/5/2017 00:00:00,1958.00,GMez & L1 - NBC CSG,0) GF Core 1 Tenant NE Riser BD/TNEL/1GL
