Site,Level,Meter,DateDay,kWh
1,Level 10,Central (Landlord's) Misc Plant/Equipment kWh,1/6/2017 00:00:00,1438
1,GMez & L1 - NBC CSG,142) A6 LV3 NBC MER I/O Panel (Spare),1/6/2017 00:00:00,89106
1,Level 10,0) L10 Core 1 Tenant NW Riser BD/TNW1P/L10 & New,1/6/2017 00:00:00,1977
1,GMez & L1 - NBC CSG,284) L1 Core 3 Tenant SW Riser BD/TSW2L(P)/L1,1/6/2017 00:00:00,2315
1,Level 10,0) L10 Core 2 Comms supply & New,1/6/2017 00:00:00,8024
1,Level 10,0) L10 Core 2 Tenant N Riser BD/TNW2P/L10 & New,1/6/2017 00:00:00,1050
1,Level 10,195) L10 Core 1 Tenant NE Riser BD/TNE1L/L10,1/6/2017 00:00:00,1544
1,Level 10,196) L10 Core 1 Tenant SE Riser BD/TSE1L/L10,1/6/2017 00:00:00,1544
1,GMez & L1 - NBC CSG,Common Area,1/6/2017 00:00:00,5839
1,GMez & L1 - NBC CSG,Central (Landlord's) Chillers/Pumps,1/6/2017 00:00:00,47035
1,GMez & L1 - NBC CSG,Central (Landlord's) Air Handling,1/6/2017 00:00:00,3031
1,Level 10,191) L10 Core 1 Tenant NW Riser BD/TNW1L/L10,1/6/2017 00:00:00,1636
7,Building,S23553105,1/6/2017 00:00:00,7603
1,L2 & L3 N,271) L2 Core 2 Tenant N Riser BD/TNW2L(P)/L2,1/6/2017 00:00:00,5013
1,L2 & L3 N,0) L2 Core 1 Tenant NW Riser BD/TNW1P/L2,1/6/2017 00:00:00,3573
1,L2 & L3 N,268) L2 Core 1 Tenant NW Riser BD/TNW1L/L2,1/6/2017 00:00:00,3495
1,L2 & L3 N,262) L3 Core 1 Tenant NE Riser BD/TNE1L/L3 "new",1/6/2017 00:00:00,2886
1,L2 & L3 N,0) L3 Core 1 Tenant NE Riser BD/TNE1L/L3,1/6/2017 00:00:00,880
1,L2 & L3 N,261) L3 Core 2 Tenant N Riser BD/TNW2L(P)/L3,1/6/2017 00:00:00,5192
1,L2 & L3 N,0) L2 Core 2 Tenant N Riser BD/TNW2L/L2,1/6/2017 00:00:00,281
1,L2 & L3 N,0) L3 Core 2 Tenant N Riser BD/TNW2L/L1,1/6/2017 00:00:00,5423
1,L2 & L3 N,0) L3 Core 1 Tenant NW Riser BD/TNW1P/L3 new,1/6/2017 00:00:00,2836
1,L2 & L3 N,0) L3 Core 1 Tenant NW Riser DB dub new,1/6/2017 00:00:00,3858
1,GMez & L1 - NBC CSG,283) L1 Core 1 Tenant SE Riser BD/TSE1L/L1,1/6/2017 00:00:00,2832
1,L2 & L3 N,Central (Landlord's) Misc Plant/Equipment kWh,1/6/2017 00:00:00,3463
1,L2 & L3 N,Central (Landlord's) Air Handling kWh,1/6/2017 00:00:00,4256
1,L2 & L3 N,Central (Landlord's) Chillers/Pumps kWh:,1/6/2017 00:00:00,20870
1,L2 & L3 N,Common Area,1/6/2017 00:00:00,8199
1,L2 & L3 N,0) L3 Core 2 Tenant NW2 Riser BD/P,1/6/2017 00:00:00,3997
1,L2 & L3 N,0) L2 Core 1 Tenant NE Riser BD/TNE1P/L2,1/6/2017 00:00:00,2172
